timeline,survival_prob,segment
206.0,0.9897270202897053,Low Review Score
207.0,0.9897270202897053,Low Review Score
208.0,0.9897270202897053,Low Review Score
209.0,0.9887753596932728,Low Review Score
210.0,0.9868702048576402,Low Review Score
211.0,0.9859167070751692,Low Review Score
212.0,0.984009711510227,Low Review Score
213.0,0.9830543622757506,Low Review Score
214.0,0.9830543622757506,Low Review Score
215.0,0.9820962196224609,Low Review Score
216.0,0.9811343232271402,Low Review Score
217.0,0.9811343232271402,Low Review Score
218.0,0.9811343232271402,Low Review Score
219.0,0.9811343232271402,Low Review Score
220.0,0.9801676884259316,Low Review Score
221.0,0.9801676884259316,Low Review Score
222.0,0.9791962635612882,Low Review Score
223.0,0.9782229074344877,Low Review Score
224.0,0.9772466370677866,Low Review Score
225.0,0.9772466370677866,Low Review Score
227.0,0.9762693904307194,Low Review Score
229.0,0.9752911645886041,Low Review Score
230.0,0.9743089982597126,Low Review Score
231.0,0.9743089982597126,Low Review Score
232.0,0.9743089982597126,Low Review Score
233.0,0.9743089982597126,Low Review Score
234.0,0.9743089982597126,Low Review Score
235.0,0.9733137898855969,Low Review Score
236.0,0.9713213358633137,Low Review Score
237.0,0.9703240860318318,Low Review Score
238.0,0.9703240860318318,Low Review Score
239.0,0.9683234178132089,Low Review Score
240.0,0.967322049232223,Low Review Score
242.0,0.967322049232223,Low Review Score
243.0,0.967322049232223,Low Review Score
244.0,0.967322049232223,Low Review Score
245.0,0.967322049232223,Low Review Score
246.0,0.966315470616997,Low Review Score
249.0,0.966315470616997,Low Review Score
250.0,0.965306790585038,Low Review Score
252.0,0.9642981105530782,Low Review Score
254.0,0.9642981105530782,Low Review Score
255.0,0.963286255242949,Low Review Score
256.0,0.963286255242949,Low Review Score
258.0,0.963286255242949,Low Review Score
259.0,0.9622712012332088,Low Review Score
260.0,0.9602410932137295,Low Review Score
261.0,0.959224965072762,Low Review Score
262.0,0.9582077593833952,Low Review Score
263.0,0.9571905536940282,Low Review Score
264.0,0.9571905536940282,Low Review Score
265.0,0.9571905536940282,Low Review Score
266.0,0.9561700946815611,Low Review Score
267.0,0.9561700946815611,Low Review Score
268.0,0.9551463579634866,Low Review Score
270.0,0.9551463579634866,Low Review Score
271.0,0.9541204220258239,Low Review Score
272.0,0.9541204220258239,Low Review Score
273.0,0.9541204220258239,Low Review Score
274.0,0.9520552263071536,Low Review Score
275.0,0.9448113278461202,Low Review Score
276.0,0.942734819433272,Low Review Score
277.0,0.9406583110204233,Low Review Score
278.0,0.9323061839525393,Low Review Score
279.0,0.9323061839525393,Low Review Score
280.0,0.930199277322138,Low Review Score
281.0,0.9291458240069378,Low Review Score
282.0,0.9270244865092047,Low Review Score
283.0,0.9259589411224124,Low Review Score
284.0,0.9259589411224124,Low Review Score
285.0,0.9248897044698458,Low Review Score
286.0,0.9216782818848812,Low Review Score
287.0,0.9206040647731273,Low Review Score
288.0,0.9152204152715308,Low Review Score
289.0,0.9141360308932466,Low Review Score
290.0,0.9141360308932466,Low Review Score
291.0,0.9141360308932466,Low Review Score
292.0,0.9130464766251976,Low Review Score
293.0,0.9108569167292138,Low Review Score
294.0,0.9108569167292138,Low Review Score
295.0,0.9108569167292138,Low Review Score
296.0,0.9086541188652979,Low Review Score
297.0,0.9086541188652979,Low Review Score
298.0,0.9086541188652979,Low Review Score
299.0,0.9086541188652979,Low Review Score
300.0,0.9086541188652979,Low Review Score
302.0,0.9086541188652979,Low Review Score
303.0,0.9086541188652979,Low Review Score
304.0,0.907528153414411,Low Review Score
305.0,0.9052734250829464,Low Review Score
306.0,0.9041418333015928,Low Review Score
307.0,0.9018758136692576,Low Review Score
308.0,0.9018758136692576,Low Review Score
309.0,0.9018758136692576,Low Review Score
310.0,0.8984639253451626,Low Review Score
311.0,0.8984639253451626,Low Review Score
312.0,0.8984639253451626,Low Review Score
313.0,0.8973222939279516,Low Review Score
314.0,0.8973222939279516,Low Review Score
315.0,0.8973222939279516,Low Review Score
